RepositoryName,CommitName,Authors,CommitId,ModifiedFiles,DateTime
subsurface,mobile:updateversionto3.0.15,dirkhh,4998052a78b425ae0c267d76b1acbb3a630e8816,cmake/Modules/version.cmake,2020-09-17 18:19:56
apps-android-wikipedia,Updatetravis.,dbrant,adf5d04ea4ef6562970bacbd01785803aa0697ed,.travis.yml,2019-11-05 00:13:32
apps-android-wikipedia,BumpversionCode,dbrant,0b80c9815e6d790ffdd731f28f18a4c1bb17d0d3,app/build.gradle,2018-10-23 19:51:44
csound,ReleaseNotes,jpffitch,643b709bd1b7d5de1bd963149995f7034473accb,"Opcodes/squinewave.c,Release_Notes/Version_6.10.md",2017-12-04 16:21:03
csound,updatedfor1.1.3release,kunstmusik,c659dbc62dd6405c3ac1eb17aa32f72d077e5450,frontends/max_csound_tilde/installer/build-installer.sh,2015-06-15 05:43:53
csound,UpdatedAPIversionto1.01toreflectchangetoCSOUNDstructure,Istvan Varga,37fcf47f70b9511b0d17c16755ba95eef331c3eb,H/version.h,2006-04-09 16:30:27
expo,Publishprereleasereact-native-adapterandunimodulescorewithAndr…,tsapeta,0bfe783584a4072bfe42471289472c3be65a2ec1,"apps/bare-expo/package.json,apps/expo-payments/package.json,ios/Podfile.lock,ios/Pods/.project_cache/installation_cache.yaml,ios/Pods/LocalPodspecs/UMCore.podspec.json,ios/Pods/Manifest.lock,packages/@unimodules/core/android/build.gradle,packages/@unimodules/core/package.json,packages/@unimodules/react-native-adapter/android/build.gradle,packages/@unimodules/react-native-adapter/package.json,packages/expo/bundledNativeModules.json,packages/expo/package.json,packages/react-native-unimodules",2019-10-21 08:13:04
k-9,Prepareforversion5.731,cketti,68be2ba75e989bcd21441eb45c74174cfda6e4ce,app/k9mail/build.gradle,2021-02-16 19:15:17
android,Updatelibraryreferenceforrelease-1.5.6,masensio,0f7908ef047cc391ea976c52a7401701c6d87866,owncloud-android-library,2014-05-28 08:37:32
remixed-dungeon,versioniteration,DeadDie,981ad9b34afc51d4a5f8803a6900e20e5a9d14ec,PixelDungeon/src/main/AndroidManifest.xml,2016-03-28 15:04:11
Signal-Android,Bumpversionto5.6.3,cody-signal,e3d3129e6d663b8651e5c13b17254e8849f2ea61,app/build.gradle,2021-04-05 20:11:03
Signal-Android,Bumpversionto5.1.3,greyson-signal,12321bc2f06b0b8e4ec277d28ebee4d8e5c6b03a,app/build.gradle,2021-01-10 04:22:10
Signal-Android,Bumpversionto4.61.1,greyson-signal,f7b150f2d2c8661754e73ed144cc9189b38dede9,app/build.gradle,2020-06-01 21:43:05
Signal-Android,Bumpversionto4.58.2,greyson-signal,5dc3cc65a8b365abc790e9cd4007d132a2bedb14,app/build.gradle,2020-03-30 21:53:08
Signal-Android,Bumpversionto3.22.1,moxie0,ca3337232b16f07d48d4ac80fd0c852fd8e45be4,AndroidManifest.xml,2016-11-14 21:41:12
actor-platform,chore(server):releasenotes,John Doe,eaee0a0361218ab91b4ee4ae2a5d8631af24f15f,actor-server/notes/1.0.58.markdown,2015-12-08 19:55:22
Player,BumpWiireleasedate,fdelapena,976bf2869f500b084e8b8aa500afa89b0eb1d5fb,builds/wii/meta.xml,2014-05-30 18:01:54
open-keychain,Version5.2-beta1,dschuermann,69182df88cc5ee58103384b37eded3829c0a930e,OpenKeychain/build.gradle,2018-07-04 21:51:25
Simple-Gallery,updateversionto6.10.5,tibbi,250ed1a5bf90d5fb25c705e3bc43170508a10bf4,app/build.gradle,2019-11-10 11:55:05
